SceneName,ElapsedTime,LeftPosX,LeftPosY,LeftPosZ,LeftRotX,LeftRotY,LeftRotZ,LeftRotW,LeftDirX,LeftDirY,LeftDirZ,RightPosX,RightPosY,RightPosZ,RightRotX,RightRotY,RightRotZ,RightRotW,RightDirX,RightDirY,RightDirZ,CenterPosX,CenterPosY,CenterPosZ,CenterRotX,CenterRotY,CenterRotZ,CenterRotW,CenterDirX,CenterDirY,CenterDirZ
Fixation,24.7299,0.01788006,0.04323769,-0.03774774,-0.2213087,-0.2534693,-0.01756822,-0.9415238,0.4850709,-0.4078289,0.7735515,0.08706354,0.04511154,-0.03784683,-0.1901688,-0.05664596,-0.01544978,-0.9799941,0.1169015,-0.3709783,0.9212541,0.05229251,0.05009902,-0.1663198,0.01386599,0.0009230134,0.01513948,0.9997888,0.002265485,-0.02769818,0.9996138
Fixation,24.7407,0.01788529,0.04322946,-0.03775255,-0.2213209,-0.2534383,-0.01758994,-0.941529,0.485025,-0.4078442,0.7735722,0.08706874,0.04510474,-0.03784671,-0.1901838,-0.05661323,-0.01546758,-0.9799928,0.1168445,-0.3710061,0.9212502,0.05229821,0.05009174,-0.166322,0.01388187,0.0008877557,0.01515036,0.9997885,0.002195766,-0.02773096,0.999613
Fixation,24.7516,0.01788193,0.04321337,-0.0377554,-0.2213622,-0.2533937,-0.01758022,-0.9415314,0.4849395,-0.4079294,0.7735808,0.08706549,0.0450846,-0.03784394,-0.190326,-0.05703616,-0.01545398,-0.9799409,0.1176667,-0.3712536,0.9210458,0.05229592,0.05007434,-0.1663216,0.0139179,0.000847105,0.01512144,0.9997885,0.002114769,-0.02780429,0.9996111
Fixation,24.7631,0.01787668,0.04320574,-0.03776339,-0.2210573,-0.2534786,-0.0176296,-0.9415793,0.4851346,-0.4073485,0.7737646,0.0870602,0.04507875,-0.03784426,-0.1904102,-0.05698538,-0.01548204,-0.979927,0.1175789,-0.3714117,0.9209932,0.05229141,0.05006909,-0.1663247,0.01400462,0.0007929697,0.01513549,0.999787,0.002009535,-0.02797928,0.9996065
Fixation,24.7741,0.01786922,0.04317129,-0.03777036,-0.2210887,-0.2534248,-0.01765702,-0.9415859,0.4850499,-0.4073986,0.7737913,0.08705272,0.04504502,-0.03784309,-0.1904443,-0.05692925,-0.01550084,-0.9799234,0.1174767,-0.3714767,0.9209801,0.05228485,0.05003548,-0.1663272,0.01403974,0.0007346614,0.01514217,0.9997865,0.001894193,-0.02805124,0.9996047
Fixation,24.7853,0.01785947,0.04316366,-0.03777492,-0.2212138,-0.2534009,-0.01772758,-0.9415616,0.4850282,-0.4075885,0.7737049,0.08704287,0.04504168,-0.037843,-0.1906299,-0.05738243,-0.01555002,-0.9798601,0.1183821,-0.3717966,0.920735,0.05227521,0.0500325,-0.1663278,0.0141807,0.0007032068,0.01517256,0.9997841,0.001836425,-0.02833394,0.9995968
Fixation,24.7963,0.01784683,0.04315436,-0.03778016,-0.2212635,-0.2535923,-0.01772911,-0.9414983,0.485359,-0.4076465,0.7734668,0.08703023,0.04503214,-0.03785126,-0.1906528,-0.05740386,-0.01554609,-0.9798544,0.1184226,-0.3718391,0.9207126,0.05226219,0.05002344,-0.1663343,0.01420398,0.0007252579,0.01517127,0.9997838,0.001881187,-0.02837982,0.9995955
Fixation,24.8076,0.01783193,0.0431813,-0.03774793,-0.2212875,-0.2535161,-0.01780342,-0.9415118,0.4852562,-0.4076626,0.7735229,0.08701517,0.04506564,-0.03780627,-0.1906877,-0.05732286,-0.0156116,-0.9798514,0.1182896,-0.3719013,0.9207046,0.05224821,0.05005431,-0.1662952,0.01424233,0.000634196,0.01521938,0.9997826,0.001701635,-0.02845916,0.9995935
Fixation,24.8183,0.01781773,0.0431993,-0.03773592,-0.2213566,-0.2534478,-0.01779952,-0.9415141,0.4851295,-0.4077981,0.7735309,0.08700111,0.04507852,-0.03778533,-0.1906863,-0.05781009,-0.01559938,-0.9798232,0.1192365,-0.3718741,0.9205934,0.05223558,0.05007088,-0.166278,0.01430618,0.0005699182,0.01518397,0.9997822,0.001574038,-0.02858882,0.99959
Fixation,24.8299,0.01781261,0.04320371,-0.03774593,-0.2212109,-0.2535036,-0.01783408,-0.9415326,0.485254,-0.4075126,0.7736033,0.08699593,0.04508507,-0.03778854,-0.1907152,-0.05776521,-0.01562523,-0.9798198,0.1191589,-0.3719279,0.9205818,0.05223107,0.05007672,-0.1662842,0.01433662,0.0005214185,0.01519984,0.9997815,0.001478438,-0.02865113,0.9995884
