SceneName,ElapsedTime,LeftPosX,LeftPosY,LeftPosZ,LeftRotX,LeftRotY,LeftRotZ,LeftRotW,LeftDirX,LeftDirY,LeftDirZ,RightPosX,RightPosY,RightPosZ,RightRotX,RightRotY,RightRotZ,RightRotW,RightDirX,RightDirY,RightDirZ,CenterPosX,CenterPosY,CenterPosZ,CenterRotX,CenterRotY,CenterRotZ,CenterRotW,CenterDirX,CenterDirY,CenterDirZ
smoothpursuit,23.9285,0.01383182,0.02022827,-0.0225505,-0.1299836,0.1342093,0.01726842,-0.9822393,-0.2681406,-0.2507148,0.9301842,0.08089837,0.02391148,-0.01772507,-0.02184919,0.154873,0.01996069,-0.9874911,-0.3067436,-0.03696902,0.9510739,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,23.9391,0.01382721,0.02019227,-0.02258862,-0.1300016,0.1342834,0.01720834,-0.9822278,-0.268268,-0.2507608,0.9301351,0.08089259,0.02388227,-0.01775206,-0.02017262,0.1555526,0.01998034,-0.9874195,-0.3079976,-0.03362169,0.9507929,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,23.9498,0.01382137,0.02017415,-0.02260015,-0.1300468,0.1343574,0.01716188,-0.9822125,-0.2683988,-0.2508556,0.9300718,0.08088565,0.02386928,-0.01775237,-0.02021913,0.1556315,0.01994345,-0.9874068,-0.3081497,-0.03372137,0.95074,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,23.9617,0.01381475,0.02015233,-0.0226035,-0.1289403,0.1356019,0.01726531,-0.9821856,-0.2708248,-0.2486042,0.9299731,0.08087806,0.02384901,-0.01774342,-0.02020382,0.1557233,0.01992966,-0.987393,-0.3083254,-0.03369119,0.9506841,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,23.9728,0.01380827,0.02013624,-0.02260976,-0.1290291,0.1356601,0.01724991,-0.9821661,-0.2709331,-0.2487758,0.9298956,0.08087082,0.02383459,-0.01774053,-0.01869431,0.156361,0.01999131,-0.9873207,-0.3095043,-0.03066284,0.9504035,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,23.9834,0.01376893,0.02014124,-0.02264349,-0.1291681,0.1357376,0.01722725,-0.9821376,-0.2710764,-0.2490449,0.9297818,0.08083043,0.02384245,-0.01776182,-0.01883484,0.1564418,0.0199807,-0.9873055,-0.3096644,-0.03093985,0.9503424,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,23.9946,0.01376575,0.02011466,-0.02264008,-0.1276322,0.1372211,0.01741601,-0.9821289,-0.2739834,-0.2459227,0.9297608,0.08082743,0.02381194,-0.01775793,-0.01879858,0.1564484,0.02000639,-0.9873046,-0.3096766,-0.03085992,0.950341,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,24.0062,0.01376128,0.02009583,-0.02264752,-0.1277299,0.1372475,0.0173879,-0.982113,-0.2740271,-0.2461175,0.9296964,0.08082235,0.02379715,-0.0177602,-0.0188976,0.1564788,0.01998352,-0.9872983,-0.3097377,-0.03106115,0.9503146,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,24.0166,0.01376668,0.0200721,-0.02265004,-0.12772,0.1373027,0.01734001,-0.9821074,-0.2741213,-0.2461079,0.9296712,0.08082688,0.0237788,-0.01775468,-0.01767416,0.1568853,0.01998444,-0.9872565,-0.3104785,-0.02862733,0.9501492,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,24.0277,0.01376868,0.020051,-0.02264991,-0.1262314,0.138433,0.01745555,-0.9821392,-0.2763278,-0.2431207,0.9298038,0.08082861,0.02375805,-0.01775131,-0.01763405,0.1569123,0.01997795,-0.987253,-0.3105288,-0.02854897,0.9501352,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,24.0391,0.01377649,0.02005374,-0.02264239,-0.1262952,0.1384398,0.01750958,-0.982129,-0.2763543,-0.2432283,0.9297678,0.08083674,0.023754,-0.01774294,-0.01769737,0.156914,0.02003378,-0.9872505,-0.3105359,-0.02865632,0.9501296,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,24.0505,0.01378329,0.02003205,-0.02262462,-0.1261716,0.1384233,0.01761422,-0.9821454,-0.2763485,-0.2429613,0.9298394,0.08084474,0.02371764,-0.01773051,-0.01600228,0.1574344,0.02019912,-0.9871932,-0.3114828,-0.02523462,0.9499167,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,24.0613,0.01378606,0.02005565,-0.02261036,-0.12445,0.1393325,0.01779898,-0.9822331,-0.2781442,-0.2395178,0.9301973,0.08084916,0.0237354,-0.01773454,-0.01606227,0.1572953,0.02025058,-0.9872133,-0.3112185,-0.02534314,0.9500004,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
