SceneName,ElapsedTime,LeftPosX,LeftPosY,LeftPosZ,LeftRotX,LeftRotY,LeftRotZ,LeftRotW,LeftDirX,LeftDirY,LeftDirZ,RightPosX,RightPosY,RightPosZ,RightRotX,RightRotY,RightRotZ,RightRotW,RightDirX,RightDirY,RightDirZ,CenterPosX,CenterPosY,CenterPosZ,CenterRotX,CenterRotY,CenterRotZ,CenterRotW,CenterDirX,CenterDirY,CenterDirZ
Fixation,13.1245,0.03465325,0.05029774,-0.05884388,0.0002660574,-0.1719662,-0.004210454,-0.9850939,0.3388035,0.001972295,0.9408551,0.1025074,0.04948807,-0.0556333,-0.04305883,-0.1860565,-0.005335119,-0.9815806,0.3657184,-0.08254617,0.9270578,0.06984562,0.05467737,-0.1850914,-0.01001544,-0.02969175,0.006028387,0.9994907,-0.05947401,0.0196627,0.9980362
Fixation,13.1354,0.03463875,0.05026436,-0.0588005,0.0003584204,-0.1719878,-0.004265643,-0.9850898,0.3388438,0.00217343,0.9408401,0.1024931,0.04946458,-0.05559272,-0.04058461,-0.2252834,-0.004871633,-0.9734355,0.4389932,-0.076818,0.8952006,0.06983024,0.05464792,-0.1850502,-0.01009477,-0.02967036,0.006101251,0.9994901,-0.05943365,0.0198172,0.9980356
Fixation,13.1465,0.03461818,0.05026853,-0.05879582,0.0002660537,-0.171938,-0.00431056,-0.9850983,0.3387493,0.002006476,0.9408745,0.1024723,0.04947197,-0.05558139,-0.04067428,-0.2252353,-0.004923546,-0.9734426,0.4389077,-0.07697024,0.8952293,0.06981005,0.05465519,-0.1850412,-0.009995358,-0.02972138,0.006126138,0.9994895,-0.05953488,0.01961636,0.9980335
Fixation,13.1574,0.03459538,0.05026627,-0.05878972,-0.003090225,-0.2176811,-0.003923922,-0.9760072,0.4249409,-0.004323837,0.9052108,0.1024489,0.04947329,-0.05556265,-0.040678,-0.2251455,-0.004954949,-0.9734631,0.4387448,-0.07696589,0.8953096,0.06978818,0.05465496,-0.1850284,-0.009984861,-0.02981492,0.006150866,0.9994866,-0.05972207,0.01959269,0.9980227
Fixation,13.1693,0.03456731,0.05024242,-0.0587824,-0.003061615,-0.2176565,-0.003869368,-0.976013,0.4248949,-0.004291966,0.9052325,0.1024206,0.04944324,-0.05555184,-0.03688583,-0.2262428,-0.004776851,-0.9733606,0.4407839,-0.06964497,0.8949073,0.06976084,0.0546273,-0.1850197,-0.01002612,-0.02983938,0.006104706,0.9994859,-0.05977049,0.01967761,0.9980182
Fixation,13.1802,0.03461979,0.05016017,-0.05876642,-0.003250606,-0.2174515,-0.003923574,-0.9760579,0.424516,-0.004639184,0.9054086,0.1024717,0.04936123,-0.05550778,-0.03707401,-0.2260384,-0.004839798,-0.9734006,0.4404108,-0.06998777,0.8950643,0.06981583,0.05454838,-0.1849872,-0.009830257,-0.0300499,0.006107694,0.9994814,-0.06018871,0.01928325,0.9980007
Fixation,13.1912,0.03459539,0.05012476,-0.0587669,-0.009655679,-0.2184212,-0.00414996,-0.975798,0.4263501,-0.01703111,0.9043979,0.1024473,0.04932857,-0.05550763,-0.03717034,-0.2260332,-0.004888605,-0.9733979,0.4404039,-0.07015309,0.8950547,0.06979128,0.05451596,-0.1849864,-0.009724661,-0.03005664,0.006130025,0.9994821,-0.06020137,0.01907075,0.9980041
Fixation,13.2031,0.03458759,0.05007875,-0.05875142,-0.009899491,-0.2182516,-0.004297617,-0.9758329,0.4260392,-0.01744458,0.9045365,0.1024386,0.04929292,-0.05546903,-0.03741269,-0.2258663,-0.00504288,-0.9734266,0.4401058,-0.07055899,0.8951694,0.06978485,0.05447972,-0.1849563,-0.00945266,-0.03023257,0.006209208,0.9994789,-0.06055102,0.01852003,0.9979933
Fixation,13.2137,0.03459833,0.05007422,-0.05870786,-0.0098904,-0.2183127,-0.004175886,-0.9758198,0.4261504,-0.0174792,0.9044834,0.1042864,0.04940808,-0.05446768,-0.03693322,-0.2074978,-0.005105224,-0.9775247,0.4060456,-0.07008762,0.9111612,0.06979583,0.05446649,-0.1849175,-0.009491327,-0.03016762,0.0060948,0.9994812,-0.06041963,0.01860508,0.9979997
Fixation,13.2256,0.03460816,0.05007589,-0.05866217,-0.01522597,-0.2183784,-0.004203133,-0.9757364,0.4262874,-0.02787731,0.9041581,0.1042965,0.04939008,-0.05443079,-0.03698928,-0.207554,-0.004971734,-0.9775113,0.4061407,-0.07025108,0.9111062,0.06980611,0.05445874,-0.184876,-0.009467862,-0.03010354,0.005954667,0.9994842,-0.06028878,0.01856744,0.9980083
Fixation,13.2380,0.03462241,0.05007803,-0.05863031,-0.01530376,-0.2185186,-0.004032855,-0.9757045,0.4265426,-0.02810138,0.9040309,0.1043118,0.04936659,-0.05441944,-0.03789256,-0.1972047,-0.004933636,-0.9796174,0.3867441,-0.07229455,0.919349,0.06982011,0.05444849,-0.1848541,-0.009433839,-0.02995542,0.005774123,0.9994901,-0.05998923,0.01851213,0.9980273
Fixation,13.2510,0.03464394,0.05006731,-0.05859327,-0.01776282,-0.2189991,-0.004053075,-0.975555,0.4274353,-0.03288198,0.9034477,0.1043343,0.04934597,-0.05440042,-0.03799408,-0.1973276,-0.004882479,-0.9795889,0.3869708,-0.07251026,0.9192365,0.06984062,0.05443418,-0.1848254,-0.009345267,-0.02982696,0.005707339,0.9994951,-0.05973048,0.01834063,0.998046
Fixation,13.2604,0.03466699,0.0500524,-0.0585675,-0.01779591,-0.2190685,-0.004080396,-0.9755387,0.4275649,-0.03293343,0.9033846,0.104358,0.04933369,-0.0543846,-0.03802784,-0.1973977,-0.004907619,-0.9795734,0.3871043,-0.07256462,0.9191761,0.06986259,0.05442131,-0.1848043,-0.009305986,-0.02975645,0.005727555,0.9994975,-0.05958959,0.01826175,0.9980559
