SceneName,ElapsedTime,LeftPosX,LeftPosY,LeftPosZ,LeftRotX,LeftRotY,LeftRotZ,LeftRotW,LeftDirX,LeftDirY,LeftDirZ,RightPosX,RightPosY,RightPosZ,RightRotX,RightRotY,RightRotZ,RightRotW,RightDirX,RightDirY,RightDirZ,CenterPosX,CenterPosY,CenterPosZ,CenterRotX,CenterRotY,CenterRotZ,CenterRotW,CenterDirX,CenterDirY,CenterDirZ
saccade,0.1611,0.0174408,0.03924429,-0.03686681,-0.1258433,-0.01763889,-0.01741865,-0.9917403,0.03937044,-0.2489932,0.9677047,0.08661681,0.04129672,-0.0362839,-0.04787118,0.05404707,-0.01513583,-0.9972754,-0.1063505,-0.09711759,0.9895746,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
saccade,0.1723,0.01741699,0.03923678,-0.03688227,-0.1258992,-0.01766251,-0.01739721,-0.9917332,0.03941358,-0.2491023,0.9676749,0.08659312,0.04128659,-0.03630291,-0.04774836,0.05387404,-0.01511631,-0.997291,-0.1060126,-0.09686677,0.9896353,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
saccade,0.1839,0.01742231,0.03921556,-0.03688224,-0.1259158,-0.01761276,-0.01743517,-0.9917314,0.03932497,-0.249135,0.96767,0.08659825,0.04126966,-0.03629535,-0.04776732,0.05392648,-0.01514895,-0.9972867,-0.1061131,-0.09690929,0.9896204,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
saccade,0.1946,0.01741173,0.03920627,-0.03687146,-0.125453,-0.01796292,-0.01744979,-0.9917834,0.04000891,-0.2482176,0.9678777,0.08658764,0.04126036,-0.03628122,-0.04782076,0.0539499,-0.01514807,-0.9972829,-0.1061578,-0.09701613,0.9896052,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
saccade,0.2056,0.01739425,0.03920937,-0.03685686,-0.1255906,-0.01795218,-0.01738206,-0.9917674,0.03997482,-0.2484892,0.9678094,0.08657045,0.04125357,-0.03626613,-0.04778702,0.05373283,-0.0150763,-0.9972973,-0.1057343,-0.09693591,0.9896584,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
saccade,0.2173,0.01740373,0.03920329,-0.03685512,-0.125603,-0.01795766,-0.01738463,-0.9917657,0.03998671,-0.2485132,0.9678028,0.08657992,0.04124784,-0.03626507,-0.04779975,0.05372753,-0.0150784,-0.9972969,-0.1057231,-0.09696134,0.989657,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
saccade,0.2278,0.01742046,0.03919983,-0.03684864,-0.1255026,-0.01842416,-0.01743903,-0.9917689,0.0409223,-0.2482965,0.9678193,0.0865965,0.04125059,-0.03626268,-0.04788297,0.05369483,-0.01511755,-0.9972941,-0.1056513,-0.09713028,0.9896482,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
saccade,0.2388,0.01742085,0.03919673,-0.03684491,-0.1255482,-0.01840116,-0.01737574,-0.9917647,0.04086224,-0.2483891,0.9677981,0.08659716,0.04123819,-0.03625683,-0.04785651,0.0534985,-0.01505584,-0.9973069,-0.1052678,-0.09706619,0.9896953,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
saccade,0.2504,0.01743518,0.03919613,-0.0368446,-0.1256364,-0.01840877,-0.0173936,-0.991753,0.04088444,-0.2485602,0.9677532,0.08661142,0.04123986,-0.03625712,-0.04794642,0.05349199,-0.01506794,-0.9973028,-0.1052505,-0.09724621,0.9896795,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
saccade,0.2615,0.01745694,0.03916991,-0.03683811,-0.125629,-0.01881226,-0.01746211,-0.9917452,0.04170143,-0.2485269,0.9677269,0.08663298,0.04122293,-0.03625971,-0.0479947,0.05342273,-0.01512933,-0.9973032,-0.1051051,-0.09734704,0.9896851,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
